"Younited Pay","Younited Pay"
"Setting up","Setting up"
"<strong>Module Requirements</strong>","<strong>Module Requirements</strong>"
"To insure your module works accurately, please correct the following technical requirements","To insure your module works accurately, please correct the following technical requirements"
"<span style='color:red'><b>Younited Credit</b> can only be configured in WEBSITE or STORE VIEW, please select in the top-left menu the WEBSITE or STORE VIEW that you want to configure.</span>","<span style='color:red'><b>Younited Credit</b> can only be configured in WEBSITE or STORE VIEW, please select in the top-left menu the WEBSITE or STORE VIEW that you want to configure.</span>"
"Environment","Environment"
"This option defines in whitch environment your module is configured.","This option defines in whitch environment your module is configured."
"Client Secret","Client Secret"
"WebHook Secret","WebHook Secret"
"This information is located in your dashboard: 'Settings' > 'General settings'.","This information is located in your dashboard: 'Settings' > 'General settings'."
"Enable IP Whitelist","Enable IP Whitelist"
"IP Whitelist","IP Whitelist"
"Comma separated IP list.<br />When enabled, only the listed IPs will see the module’s components on the site.","Comma separated IP list.<br />When enabled, only the listed IPs will see the module’s components on the site."
"Display","Display"
"Show monthly installments","Show monthly installments"
"If you wish only have theses informations on the cart you can select 'No' to hide it on product pages. This also disables the widget codes.","If you wish only have theses informations on the cart you can select 'No' to hide it on product pages. This also disables the widget codes."
"Monthly installments location","Monthly installments location"
"These values are locations registered by your current theme, you can choose any of them to place the block where it looks the best.","These values are locations registered by your current theme, you can choose any of them to place the block where it looks the best."
"Monthly installments widget","Monthly installments widget"
"After products prices","After products prices"
"After Add To Cart button","After Add To Cart button"
"Product Information","Product Information"
"Selected maturities","Selected maturities"
"Installments","Installments"
"Min. amount (tax included)","Min. amount (tax included)"
"Max. amount (tax included)","Max. amount (tax included)"
"Installments from","Installments from"
"€/month. And up to","€/month. And up to"
"€/month","€/month"
"Add a maturity","Add a maturity"
"To keep your site cluter free you should select a maximum of 3 maturities.","To keep your site cluter free you should select a maximum of 3 maturities."
"Credit activation status","Credit activation status"
"The credit will be activated when the order changes to the selected status.","The credit will be activated when the order changes to the selected status."
"If you have any problem or the informations in the module aren't up to date you can empty the cache, new data will be fetched automatically.","If you have any problem or the informations in the module aren't up to date you can empty the cache, new data will be fetched automatically."
"Flush cache","Flush cache"
"Taking out a loan is a commitment with an obligation of repayment. Verify your ability to repay the loan before committing.","Taking out a loan is a commitment with an obligation of repayment. Verify your ability to repay the loan before committing."
"Total amount due of","Total amount due of"
"You pay back","You pay back"
"installements of","installements of"
"over a period of","over a period of"
"months","months"
"Fixed Annual Percentage Rate (APR) of","Fixed Annual Percentage Rate (APR) of"
"Fixed borrowing rate of","Fixed borrowing rate of"
"Interest and fees due of","Interest and fees due of"
"Pay in %1 times without fees (for %2€/month) with","Pay in %1 times without fees (for %2€/month) with"
